a sense of loss,depressed
abominable,depressed
absorbed,interested
accepting,open
aching,hurt
admiration,love
affected,interested
affectionate,love
afflicted,hurt
aggressive,angry
agonized,hurt
alarmed,afraid
alienated,hurt
alone,helpless
amazed,open
anguish,sad
animated,alive
annoyed,angry
anxious,positive
anxious,afraid
appalled,hurt
ashamed,depressed
at ease,good
attracted,love
bad,depressed
bitter,angry
blessed,good
boiling,angry
bold,positive
bored,indifferent
brave,positive
bright,good
calm,good
certain,good
certain,strong
challenged,positive
cheerful,happy
clever,good
close,love
cold,indifferent
comfortable,good
comforted,love
concerned,interested
confident,open
confident,positive
considerate,love
content,good
courageous,alive
cowardly,afraid
cross,angry
crushed,hurt
curious,interested
daring,positive
dejected,hurt
delighted,happy
deprived,hurt
desolate,sad
despair,helpless
desperate,sad
despicable,depressed
determined,positive
detestable,depressed
devoted,love
diminished,depressed
disappointed,depressed
discouraged,depressed
disgusting,depressed
disillusioned,confused
disinterested,indifferent
dismayed,sad
dissatisfied,depressed
distressed,helpless
distrustful,confused
dominated,helpless
doubtful,confused
doubtful,afraid
drawn toward,love
dull,indifferent
dynamic,strong
eager,positive
earnest,positive
easy,open
ecstatic,happy
elated,happy
embarrassed,confused
empty,helpless
encouraged,good
energetic,alive
engrossed,interested
enraged,angry
enthusiastic,positive
excited,positive
fascinated,interested
fatigued,helpless
fearful,afraid
festive,happy
forced,helpless
fortunate,happy
free,open
free,alive
free,strong
free and easy,good
frightened,afraid
frisky,alive
frustrated,helpless
fuming,angry
gay,happy
glad,happy
gleeful,happy
great,happy
grief,sad
grieved,sad
guilty,depressed
hardy,strong
hateful,angry
heartbroken,hurt
hesitant,confused
hesitant,helpless
hopeful,positive
hostile,angry
humiliated,hurt
important,happy
impulsive,alive
impulsive,strong
in a stew,helpless
in despair,depressed
incapable,helpless
incensed,angry
indecisive,confused
indignant,angry
inferior,helpless
inflamed,angry
infuriated,angry
injured,hurt
inquisitive,interested
insensitive,indifferent
inspired,positive
insulting,angry
intent,positive
interested,open
intrigued,interested
irritated,angry
joyous,happy
jubilant,happy
keen,positive
kind,open
liberated,alive
lifeless,indifferent
lonely,sad
lost,confused
lousy,depressed
loved,love
loving,love
lucky,happy
menaced,afraid
merry,happy
miserable,depressed
misgiving,confused
mournful,sad
nervous,afraid
neutral,indifferent
nonchalant,indifferent
nosy,interested
offended,hurt
offensive,angry
optimistic,alive
optimistic,positive
overjoyed,happy
pained,sad
pained,hurt
panic,afraid
paralyzed,helpless
passionate,love
pathetic,helpless
peaceful,good
perplexed,confused
pessimistic,confused
pessimistic,sad
playful,alive
pleased,good
powerless,depressed
preoccupied,indifferent
provocative,alive
provoked,angry
quaking,afraid
quiet,good
re-enforced,positive
reassured,good
rebellious,strong
receptive,open
rejected,hurt
relaxed,good
reliable,open
repugnant,depressed
resentful,angry
reserved,indifferent
restless,afraid
satisfied,open
satisfied,happy
scared,afraid
secure,strong
sensitive,love
serene,good
shaky,afraid
shy,confused
skeptical,confused
snoopy,interested
sore,angry
sorrowful,sad
spirited,alive
stupefied,confused
sulky,depressed
sunny,happy
sure,strong
surprised,good
suspicious,afraid
sympathetic,open
sympathy,love
tearful,sad
tenacious,strong
tender,love
tense,confused
terrible,depressed
terrified,afraid
thankful,happy
threatened,afraid
thrilled,alive
timid,afraid
tormented,hurt
tortured,hurt
touched,love
tragic,helpless
unbelieving,confused
uncertain,confused
understanding,open
uneasy,confused
unhappy,sad
unique,strong
unpleasant,angry
unsure,confused
upset,confused
upset,angry
useless,helpless
victimized,hurt
vulnerable,helpless
warm,love
wary,afraid
weary,indifferent
woeful,helpless
wonderful,alive
worked up,angry
worried,afraid
wronged,hurt
